Size,Zeep Sort,Bubble Sort,Insertion Sort,Merge Sort,Quick Sort
381,0.016002033,0.12361358,0.025230717,0.02006604,0.015663365
382,0.01638231,0.12715389,0.025634496,0.020032255,0.015533486
383,0.016341817,0.12418078,0.025619201,0.019916588,0.014979999
384,0.016043693,0.1253627,0.0255163,0.019542584,0.015446322
385,0.01651125,0.12618701,0.025494054,0.019505518,0.015227992
386,0.016040487,0.12720878,0.02581918,0.020844055,0.015525819
387,0.016597867,0.12745099,0.025627796,0.020897834,0.015135879
388,0.01655458,0.1283842,0.026125195,0.020865666,0.015606139
389,0.01642462,0.12819847,0.026106501,0.020660443,0.015646612
390,0.017074017,0.12983187,0.02608771,0.021234183,0.015513954
391,0.01642193,0.1294639,0.026587889,0.021200798,0.015987488
392,0.016811846,0.13249129,0.026480837,0.020993032,0.015505226
393,0.017030567,0.1313537,0.026812227,0.020873362,0.015895197
394,0.016898695,0.13151212,0.026530076,0.02110148,0.015497767
395,0.016589133,0.13253753,0.026858598,0.021504432,0.016150268
396,0.01715945,0.13366772,0.026751144,0.021207321,0.015663499
397,0.016850464,0.13427438,0.027437141,0.0213498,0.015880018
398,0.017601274,0.13444188,0.027242173,0.02166991,0.01592075
399,0.016935626,0.13513035,0.027398475,0.022078382,0.015960276
400,0.017333332,0.13573334,0.027822223,0.021955555,0.016266666
401,0.017376581,0.13740866,0.027980752,0.021921227,0.016129032
402,0.017152045,0.13989638,0.02849741,0.022422727,0.016616045
403,0.018001074,0.1374709,0.028389754,0.023195414,0.016389038
404,0.019481102,0.14974414,0.028907442,0.023251638,0.017685609
405,0.01899019,0.14589146,0.029610297,0.02313023,0.017730176
406,0.01921689,0.14814146,0.028870445,0.023908336,0.017863587
407,0.01817853,0.14895542,0.029031383,0.024509361,0.017816767
408,0.018043341,0.1489709,0.028923746,0.023936894,0.01822468
409,0.018905653,0.14960916,0.028631158,0.023995638,0.017905835
410,0.018039359,0.1493258,0.030885568,0.024872448,0.016946064
411,0.017809846,0.14896338,0.030961731,0.024294456,0.016713856
412,0.018311664,0.15189525,0.030305805,0.024262955,0.01748764
413,0.018171806,0.1518906,0.030561674,0.02496329,0.017896475
414,0.01821527,0.15041399,0.031646736,0.024931002,0.01674333
415,0.018166728,0.15308005,0.03116931,0.023515308,0.017152343
416,0.017933074,0.15298577,0.03198373,0.024218895,0.018025514
417,0.018904643,0.15448059,0.031044388,0.023260124,0.017885275
418,0.01913609,0.1561542,0.03139805,0.023873664,0.017742684
419,0.018901303,0.15493482,0.030912478,0.024022346,0.017970204
420,0.019040508,0.1586709,0.03192085,0.024733992,0.018200485
421,0.019178595,0.15735804,0.03246328,0.02432407,0.017868837
422,0.019223556,0.15950863,0.03160165,0.024381096,0.018192047
423,0.019458545,0.15811242,0.032336906,0.024346681,0.017578492
424,0.019315934,0.16338453,0.03203618,0.02525205,0.019315934
425,0.019267095,0.15545902,0.03277295,0.02380053,0.01775595
426,0.019121544,0.1660356,0.036255207,0.026126467,0.019121544
427,0.020210646,0.16652434,0.03653098,0.026947528,0.020400418
428,0.021780483,0.17129542,0.031862278,0.02377782,0.01778581
429,0.019065777,0.157102,0.032030504,0.02402288,0.017731173
